condition,snr_db,model,accuracy,macro_f1,total_beats,N_f1,N_recall,S_f1,S_recall,V_f1,V_recall,F_f1,F_recall,Q_f1,Q_recall
clean,clean,raw_only,0.9400418780703874,0.522382646058895,49668,0.9671384079875424,0.9551087792301778,0.7223650385604113,0.7652505446623094,0.9210566037735848,0.9478098788443616,0.0013531799729364006,0.002577319587628866,0.0,0.0
clean,clean,fusion,0.948357091084803,0.5152638511897338,49668,0.9720479568251944,0.9653760911845854,0.6861843697072345,0.7723311546840959,0.9104727162182703,0.9304131717924822,0.0076142131979695426,0.007731958762886598,0.0,0.0
clean,clean,ph_only,0.8929693162599662,0.30525697484797665,49668,0.942517454440008,0.9555836989461305,0.0021019442984760908,0.0010893246187363835,0.5728354534263439,0.6505125815470643,0.008830022075055188,0.005154639175257732,0.0,0.0
bw,24.0,raw_only,0.9399814770073287,0.5217653227625798,49668,0.9671509863863795,0.9551540096793161,0.7212946313896736,0.7647058823529411,0.919016739556628,0.9465672569120845,0.001364256480218281,0.002577319587628866,0.0,0.0
bw,24.0,fusion,0.9486590964000966,0.5161087805117062,49668,0.9722007194572196,0.965692704328554,0.686531007751938,0.7717864923747276,0.91160809371672,0.9307238272755514,0.01020408163265306,0.010309278350515464,0.0,0.0
bw,24.0,ph_only,0.8942377385841991,0.30638527895738465,49668,0.9432605161778786,0.9579582975258945,0.0051813471502590676,0.0027233115468409588,0.5746739587715608,0.6365330848089469,0.008810572687224669,0.005154639175257732,0.0,0.0
bw,18.0,raw_only,0.9403640170733671,0.5224167563468164,49668,0.9673106858346304,0.9556289293952689,0.7192396609298742,0.7625272331154684,0.9227974568574023,0.9468779123951537,0.0027359781121751026,0.005154639175257732,0.0,0.0
bw,18.0,fusion,0.9484174921478618,0.5146801115701265,49668,0.972129599071366,0.9659188565742458,0.685025817555938,0.7587145969498911,0.9086502045144675,0.9316557937247593,0.007594936708860759,0.007731958762886598,0.0,0.0
bw,18.0,ph_only,0.8974993959893695,0.307456821418914,49668,0.9451401775693665,0.9617802704780859,0.004162330905306972,0.002178649237472767,0.5879815986198965,0.6352904628766698,0.0,0.0,0.0,0.0
bw,12.0,raw_only,0.9422565837158734,0.5231436929819706,49668,0.9684773784886979,0.9577999909539102,0.7220496894409938,0.7598039215686274,0.9223095525997581,0.9478098788443616,0.002881844380403458,0.005154639175257732,0.0,0.0
bw,12.0,fusion,0.9473101393251188,0.5153808635361266,49668,0.9713739589496199,0.9653987064091546,0.6917255297679112,0.7467320261437909,0.9069943862843272,0.9285492388940665,0.00681044267877412,0.007731958762886598,0.0,0.0
bw,12.0,ph_only,0.8986067488121124,0.30573205766663275,49668,0.9459528319652608,0.9656022434302772,0.003136434918975431,0.0016339869281045752,0.5795710214489275,0.6001863932898416,0.0,0.0,0.0,0.0
bw,6.0,raw_only,0.9431625996617541,0.5235956707001439,49668,0.9690740486958112,0.9595187480211679,0.7280356674534486,0.7559912854030502,0.9164142943670502,0.9400434917676297,0.004454342984409799,0.007731958762886598,0.0,0.0
bw,6.0,fusion,0.9455987758717886,0.5129069001521473,49668,0.970444580749222,0.96607716314623,0.6926544683107928,0.7113289760348583,0.897298947047154,0.9133271202236719,0.004136504653567736,0.005154639175257732,0.0,0.0
bw,6.0,ph_only,0.892868647821535,0.29324094113935906,49668,0.9425114800423878,0.9654891673074314,0.004184100418410042,0.002178649237472767,0.5195091252359975,0.512892202547375,0.0,0.0,0.0,0.0
bw,0.0,raw_only,0.9366594185390996,0.5094738337480679,49668,0.9658692549243506,0.9564656927043286,0.7166804067051389,0.710239651416122,0.8555099648300118,0.9068033550792172,0.009309542280837857,0.015463917525773196,0.0,0.0
bw,0.0,fusion,0.9389345252476443,0.49264120957485397,49668,0.9669745723427589,0.9670948482518431,0.6470940683043739,0.5882352941176471,0.8470409711684371,0.8670394532463498,0.0020964360587002098,0.002577319587628866,0.0,0.0
bw,0.0,ph_only,0.8831239429813965,0.2677630371190979,49668,0.9373654378487631,0.9649237866932019,0.0021186440677966106,0.0010893246187363835,0.39933110367892977,0.37092264678471576,0.0,0.0,0.0,0.0
bw,-6.0,raw_only,0.917894821615527,0.4578379018969132,49668,0.9576914732045997,0.9483242118594237,0.6144343302990897,0.5147058823529411,0.707250163291966,0.8409443926685306,0.009813542688910697,0.01288659793814433,0.0,0.0
bw,-6.0,fusion,0.9217202222759121,0.4338345555490948,49668,0.9581780631257577,0.9652856302863088,0.4948905109489051,0.369281045751634,0.7161042036708111,0.751475613544579,0.0,0.0,0.0,0.0
bw,-6.0,ph_only,0.8774059756785053,0.23937942239423987,49668,0.934851787271142,0.9699895969966982,0.0,0.0,0.26204532470005715,0.213730972351662,0.0,0.0,0.0,0.0
ma,24.0,raw_only,0.9409881613916405,0.522934542514274,49668,0.9676238416657132,0.956397847030621,0.7225373904074266,0.7630718954248366,0.9217259651778956,0.9456352904628766,0.002785515320334262,0.005154639175257732,0.0,0.0
ma,24.0,fusion,0.9502899251026818,0.5156938848731945,49668,0.9731677922550424,0.9678637658871952,0.6905170301396717,0.7674291938997821,0.9120560890108215,0.9294812053432743,0.002728512960436562,0.002577319587628866,0.0,0.0
ma,24.0,ph_only,0.9016066682773617,0.31018423141378165,49668,0.9476620616365568,0.9680220724591795,0.003131524008350731,0.0016339869281045752,0.5957125603864734,0.6129232680956819,0.004415011037527594,0.002577319587628866,0.0,0.0
ma,18.0,raw_only,0.9424579205927358,0.5235867827410601,49668,0.9685114939902199,0.958523678140124,0.7244871461957932,0.7598039215686274,0.919083042356156,0.940354147250699,0.005852231163130943,0.010309278350515464,0.0,0.0
ma,18.0,fusion,0.9515583474269147,0.5147842783008748,49668,0.9738917318144167,0.9705549776109277,0.6850137603202402,0.7456427015250545,0.9120441311676372,0.9245107176141659,0.0029717682020802376,0.002577319587628866,0.0,0.0
ma,18.0,ph_only,0.9069018281388419,0.3123063286602733,49668,0.9507385370038385,0.9774752363290967,0.004181913225300576,0.002178649237472767,0.6022538945972821,0.5644610127368748,0.004357298474945533,0.002577319587628866,0.0,0.0
ma,12.0,raw_only,0.9469678666344528,0.5252410396438509,49668,0.9709572834309768,0.9651273237143245,0.7371188222923238,0.7636165577342048,0.9164211505659793,0.9179869524697111,0.0017079419299743809,0.002577319587628866,0.0,0.0
